Waktu,Samarinda,Balikpapan,Sendawar,Tarakan,Tanjungselor,Malinau,Palangkaraya,Purukcahu,Pangkalanbun,Banjarmasin,KotaBaru,Barabai,Pontianak,Ketapang,Sintang
Jun-07,144.6099999,108.8099997,107.4600001,77.70999983,49.62999989,162.2500007,108.6400006,95.70000064,81.86000122,73.03999999,108.3500007,151.5499999,77.6999996,32.83999999,100.5399995
Jul-07,147.48,135.9400004,120.4100003,40.79000011,35.94000009,95.37000078,93.33999994,80.02000007,101.9300002,112.2500001,176.3900006,170.3199991,77.99999963,98.01000112,98.68999949
Aug-07,79.94999976,80.00000041,59.96999981,48.15000021,62.12999961,122.4499999,110.3499998,89.9499996,78.08000046,71.37999977,48.38999958,105.2599997,43.81999987,37.35999966,138.0999992
Sep-07,105.5999993,86.14999945,116.4500001,87.87000018,57.62999977,78.61999959,97.87000007,78.91999915,71.03999993,59.22999925,91.3199992,87.14999964,10.89000005,51.41000044,71.44999954
Oct-07,115.6000004,121.1400003,114.9100004,87.99000004,93.80000034,171.0599997,135.8800015,116.7999993,164.6799996,86.05000041,108.7400003,132.4299994,135.2599999,77.3000004,129.930001
Nov-07,130.7499997,86.74000002,100.1400001,51.0399996,47.20999989,116.97,138.5200011,82.12000024,99.74000038,91.49000078,65.39000071,81.67000028,77.4499989,109.3799993,148.2800002
Dec-07,232.8600011,208.9199993,193.5400013,74.41999948,71.64000097,90.47999936,157.3799989,152.1699995,99.9599998,214.1599975,113.680001,168.6499999,122.8199984,85.42999972,186.3899996
Jan-08,52.79999995,43.75000013,218.909999,109.7399991,70.38999978,144.5499986,184.5999996,133.8100005,77.11999923,191.4699993,98.49999941,84.99000053,26.36000013,29.30000073,70.49000084
Feb-08,105.270001,114.3400004,79.17999929,142.1299992,89.94999969,200.6400004,165.2500003,104.7499995,45.55999997,190.5399999,49.49000015,124.7300002,47.11999999,47.99999915,83.53999943
Mar-08,130.1599993,134.6400002,202.7699995,159.4400002,129.9200005,91.85999972,181.8100004,172.1999997,115.7099996,142.5700004,89.35000054,170.3599993,71.92000043,59.80999967,195.3400004
Apr-08,82.0899998,81.51999968,130.9100002,99.51000023,124.9699992,184.5300007,111.4399991,131.0899993,148.4800003,56.4,29.1800002,70.17000015,117.7399992,127.6199997,101.1700001
May-08,47.90999981,49.78999957,62.31999995,55.53000024,39.59000026,166.1700005,96.58000042,103.910001,59.61000037,46.18000059,41.76999928,31.61999981,60.46000087,97.79000041,78.20000027
Jun-08,71.68000019,83.39999932,111.429999,76.08999953,66.96000017,111.3100004,68.65000006,139.4499989,71.56000061,45.10000008,50.7499999,64.72999932,38.81000043,49.48999968,112.8900005
Jul-08,150.030001,109.6599997,109.1799998,77.65999988,76.56999974,147.35,66.99000028,100.9000001,37.39000019,96.20000026,83.2900006,108.9800001,37.15000013,26.24999994,123.1500016
Aug-08,87.97999957,79.45999987,133.2699978,61.83999993,47.67000017,94.18000118,181.8500024,174.7599992,158.9999995,110.7899991,55.76999979,107.3400001,45.22000018,167.1699999,203.2800002
Sep-08,89.62999974,97.28999987,100.5899995,87.6299997,80.53999984,159.7700007,86.69999993,87.47000052,88.50000006,70.07000076,71.80000031,83.19999947,53.40000007,71.28000155,124.8599992
Oct-08,112.6342355,127.3756781,99.96140711,99.96947842,85.21290355,103.4824087,128.0208395,78.50097878,109.5882512,69.01912362,91.45258935,100.5839224,188.7761856,116.9713133,164.3644086
Nov-08,143.6100002,140.11,110.5800007,73.33000025,107.340001,162.7300001,116.52,156.7799993,75.3,75.22000019,74.12999902,97.98999987,97.00999938,110.3999994,135.11
Dec-08,210.2099994,192.3199994,224.7000004,91.53000039,71.68000019,114.6600008,163.2699986,164.5800014,140.3900008,175.0600005,126.8499998,209.18,81.18999974,108.4700009,102.419999
Jan-09,193.8400003,153.3599991,442.2700013,132.1100003,97.68999931,166.6599998,278.930001,177.6800001,98.4100005,181.789998,90.10000074,267.4999987,37.95999962,63.07000007,139.8699999
Feb-09,123.1999991,97.44999937,147.7799996,88.13999873,55.66999981,87.93000022,136.82,163.8199996,66.84999961,118.8100004,46.77999965,137.6100009,59.26999979,41.76999986,110.1099998
Mar-09,66.6399999,82.16000006,68.49999999,130.8299993,133.0099997,113.3299998,223.98,157.3399978,88.60000022,79.13999936,39.07000038,62.46999963,63.02999967,138.2900005,106.2399999
Apr-09,29.91000012,30.2299996,153.2299997,71.16999987,59.54999948,100.9499993,209.6800004,120.9199996,108.5999996,76.22000077,34.08000031,43.20999987,65.24,119.6500001,155.7600001
May-09,77.07999983,59.74999932,63.0000003,91.46999952,41.08999978,109.6599992,76.78999923,75.34999979,55.51000011,14.31,25.70999989,33.70999967,52.74000034,73.81000018,68.53999995
Jun-09,48.11999967,34.14999989,77.62999883,97.98999915,74.52999987,234.7599993,55.43000068,77.29000002,24.23000036,34.33000039,32.13999997,52.9800001,9.670000017,29.96000014,107.1600001
