Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,1000.159302,1176.113281,972.377075,1120.548828,973.768188,161202115
2012-10-01,1166.852539,1435.413818,1120.548828,1268.720581,1102.530762,464015041
2012-11-01,1259.459839,1509.499634,1203.895386,1509.499634,1311.770386,412127145
2012-12-01,1463.196045,1528.021118,1259.459839,1379.849365,1199.103149,377619626
2013-01-01,1379.849365,1602.107056,1361.327881,1528.021118,1327.865723,437063612
2013-02-01,1518.760376,1648.410645,1472.456665,1639.149902,1424.437744,536217199
2013-03-01,1629.889160,1921.602295,1555.803345,1875.298706,1629.653564,764282816
2013-04-01,1898.450439,2292.031738,1805.843140,2222.576172,1931.440918,417210985
2013-05-01,2222.576172,2685.612793,2199.424316,2616.157471,2273.467041,406726927
2013-06-01,2616.157471,2662.460938,1787.321655,1898.450439,1663.205078,541698964
2013-07-01,1921.602295,2153.120605,1472.456665,1921.602295,1683.488159,985467218
2013-08-01,1944.754150,2083.665283,1250.199097,1611.367676,1411.696045,646040027
2013-09-01,1620.628418,1967.906006,1500.238892,1778.060913,1557.733643,970246503
2013-10-01,1778.060913,1967.906006,1685.453613,1778.060913,1557.733643,522256643
2013-11-01,1759.539429,1805.843140,1481.717407,1528.021118,1338.677368,417642908
2013-12-01,1528.021118,1676.192871,1426.153076,1463.196045,1281.885010,332391565
2014-01-01,1463.196045,1838.255737,1463.196045,1805.843140,1582.073242,510358232
2014-02-01,1805.843140,2023.470459,1759.539429,1986.427490,1740.280396,881987303
2014-03-01,1977.166748,2319.813965,1963.275635,2213.315430,1939.053833,838358261
2014-04-01,2227.206543,2347.596191,1898.450439,2097.556396,1837.639160,1272658921
2014-05-01,2097.556396,2292.031738,2065.143799,2171.642090,1949.668457,721990484
2014-06-01,2134.599121,2171.642090,1986.427490,2051.252686,1841.584717,308365068
2014-07-01,2051.252686,2648.570068,2041.991821,2454.094482,2203.250000,613516685
2014-08-01,2454.094482,2768.959473,2403.160400,2657.830811,2386.161621,457888309
2014-09-01,2639.309326,2731.916504,2389.269287,2412.421143,2165.836670,390671284
2014-10-01,2514.289307,2718.025391,2241.097656,2648.570068,2377.847656,517434777
2014-11-01,2662.460938,2907.870605,2546.701904,2782.850586,2498.402588,339241562
2014-12-01,2792.111328,3607.055908,2792.111328,3407.950195,3059.607666,418427183
2015-01-01,3407.950195,3514.448486,3199.583740,3468.145020,3113.650146,436698632
2015-02-01,3468.145020,3607.055908,3204.214111,3389.428711,3042.979492,437797356
2015-03-01,3380.167969,3398.689453,3074.563721,3236.626465,2905.796143,317837103
2015-04-01,3222.735352,3352.385742,2713.395020,2764.329102,2481.774170,312291537
2015-05-01,2764.329102,3139.388916,2625.418213,2907.870605,2641.706787,360573673
2015-06-01,2880.088379,2954.174072,2296.662109,2319.813965,2107.476318,232623771
2015-07-01,2338.335449,2954.174072,2329.074707,2458.724854,2233.672363,326362454
2015-08-01,2463.355225,2625.418213,2194.793945,2560.593018,2326.216064,402883599
2015-09-01,2546.701904,2704.134277,2301.292480,2398.530029,2178.987061,201428943
2015-10-01,2412.421143,2917.131348,2389.269287,2722.655762,2473.444580,276962375
2015-11-01,2676.352051,2731.916504,2491.137451,2606.896729,2368.281738,176589448
2015-12-01,2653.200439,2667.091309,2347.596191,2444.833740,2221.052490,196939778
2016-01-01,2444.833740,2694.873535,2412.421143,2593.005615,2355.662109,267888903
2016-02-01,2593.005615,2611.527100,2389.269287,2412.421143,2191.606689,347603642
2016-03-01,2430.942627,2528.180420,2245.728027,2417.051514,2195.812988,462781660
2016-04-01,2417.051514,2560.593018,2403.160400,2454.094482,2229.465576,156143229
2016-05-01,2389.269287,2463.355225,2037.361450,2222.576172,2019.138794,176150711
2016-06-01,2222.576172,2778.220215,2222.576172,2741.177246,2510.708252,444248680
2016-07-01,2713.395020,2843.045410,2620.787842,2759.698730,2527.672607,221620976
2016-08-01,2759.698730,3139.388916,2750.437988,3000.477783,2748.208008,316979829
2016-09-01,2972.695557,3065.302979,2305.922852,2593.005615,2374.994629,734936216
2016-10-01,2611.527100,2759.698730,2361.487305,2380.008789,2179.905762,169393148
2016-11-01,2407.790771,2660.000000,2241.097656,2430.000000,2225.693604,500523830
2016-12-01,2440.000000,2620.000000,2270.000000,2360.000000,2161.579102,367058500
2017-01-01,2360.000000,2590.000000,2340.000000,2570.000000,2353.923096,455925400
2017-02-01,2590.000000,2590.000000,2450.000000,2500.000000,2289.808350,383340700
2017-03-01,2520.000000,2550.000000,2380.000000,2410.000000,2207.375244,303272500
2017-04-01,2410.000000,2430.000000,2180.000000,2370.000000,2201.036865,312564200
2017-05-01,2370.000000,2420.000000,2180.000000,2290.000000,2126.740479,319773200
2017-06-01,2290.000000,2290.000000,2190.000000,2210.000000,2052.443848,207208200
2017-07-01,2210.000000,2280.000000,1965.000000,2080.000000,1931.711792,345957000
2017-08-01,2080.000000,2110.000000,1980.000000,1985.000000,1843.484497,298005900
2017-09-01,1985.000000,1990.000000,1760.000000,1790.000000,1662.386475,264490400
2017-10-01,1790.000000,2070.000000,1725.000000,1970.000000,1829.553955,605209500
2017-11-01,1975.000000,2060.000000,1800.000000,1805.000000,1676.317139,317818600
2017-12-01,1805.000000,1810.000000,1490.000000,1550.000000,1439.496826,557056000
2018-01-01,1550.000000,2190.000000,1510.000000,2080.000000,1931.711792,1327544900
2018-02-01,2100.000000,2110.000000,1855.000000,1925.000000,1787.762085,640123000
2018-03-01,1920.000000,1950.000000,1600.000000,1680.000000,1560.228638,295034100
2018-04-01,1700.000000,1785.000000,1540.000000,1585.000000,1472.001465,185056400
2018-05-01,1585.000000,1715.000000,1215.000000,1670.000000,1550.941650,623053900
2018-06-01,1670.000000,1690.000000,1310.000000,1325.000000,1252.063477,124226800
2018-07-01,1325.000000,1585.000000,1210.000000,1550.000000,1464.677979,303352300
2018-08-01,1560.000000,1735.000000,1510.000000,1550.000000,1464.677979,310610400
2018-09-01,1555.000000,1595.000000,1350.000000,1365.000000,1289.861694,151135300
2018-10-01,1375.000000,1490.000000,1095.000000,1100.000000,1039.448853,352272100
2018-11-01,1105.000000,1525.000000,1100.000000,1505.000000,1422.155151,821431400
2018-12-01,1530.000000,1750.000000,1490.000000,1655.000000,1563.898193,527314200
2019-01-01,1655.000000,1975.000000,1650.000000,1895.000000,1790.687012,677747500
2019-02-01,1910.000000,1915.000000,1635.000000,1785.000000,1686.742065,405475200
2019-03-01,1790.000000,2200.000000,1790.000000,2150.000000,2031.650024,486629600
2019-04-01,2170.000000,2490.000000,2120.000000,2420.000000,2286.787598,667558600
2019-05-01,2420.000000,2430.000000,1775.000000,2270.000000,2145.044434,592644200
2019-06-01,2270.000000,2460.000000,2270.000000,2430.000000,2337.250488,271466400
2019-07-01,2450.000000,2500.000000,2250.000000,2340.000000,2250.685547,335117400
2019-08-01,2350.000000,2390.000000,2140.000000,2210.000000,2125.647461,393654700
2019-09-01,2220.000000,2230.000000,1910.000000,1925.000000,1851.525513,358428700
2019-10-01,1925.000000,2170.000000,1805.000000,1980.000000,1904.426270,327662100
2019-11-01,2000.000000,2100.000000,1710.000000,1735.000000,1668.777588,335416200
2019-12-01,1740.000000,2090.000000,1720.000000,1990.000000,1914.044556,341747500
2020-01-01,1990.000000,2200.000000,1830.000000,1890.000000,1817.861450,350049200
2020-02-01,1890.000000,2100.000000,1760.000000,1875.000000,1803.433960,211088200
2020-03-01,1875.000000,1910.000000,675.000000,835.000000,803.129272,872516800
2020-04-01,840.000000,1320.000000,790.000000,950.000000,913.739868,1189441000
2020-05-01,950.000000,1105.000000,890.000000,1085.000000,1043.587158,648545800
2020-06-01,1085.000000,1465.000000,1085.000000,1200.000000,1154.197754,862582800
2020-07-01,1205.000000,1300.000000,1150.000000,1190.000000,1190.000000,789576100
2020-08-01,1200.000000,1340.000000,1060.000000,1240.000000,1240.000000,572717000
2020-09-01,1245.000000,1280.000000,1040.000000,1095.000000,1095.000000,321456900
2020-10-01,1110.000000,1270.000000,1065.000000,1205.000000,1205.000000,294813800
2020-11-01,1170.000000,1750.000000,1150.000000,1620.000000,1620.000000,1059570900
2020-12-01,1690.000000,2200.000000,1585.000000,1985.000000,1985.000000,1468003800
